crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
06/05/2024 08:00:00 AM,5.0,4,2,6,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,3.0,8,4,6,06/05/2024,2024-06-05,08:00:00
01/09/2024 08:50:00 AM,7.0,8,5,5,5,3,6,3,3,1,4,FAILING TO REDUCE SPEED TO AVOID CRASH,2,3,1.0,0.0,0.0,0.0,1.0,1.0,8,3,1,01/09/2024,2024-01-09,08:50:00
05/12/2024 08:35:00 PM,3.0,3,5,14,7,3,3,1,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,4,1.0,0.0,0.0,1.0,0.0,4.0,20,1,5,05/12/2024,2024-05-12,20:35:00
06/07/2024 11:30:00 AM,5.0,3,2,4,6,3,3,3,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,6,6,06/07/2024,2024-06-07,11:30:00
07/02/2024 09:20:00 AM,7.0,3,2,6,7,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,3,7,07/02/2024,2024-07-02,09:20:00
07/11/2024 03:15:00 PM,3.0,3,2,14,6,3,3,3,3,1,2,FAILING TO YIELD RIGHT-OF-WAY,2,4,1.0,0.0,0.0,1.0,0.0,1.0,15,5,7,07/11/2024,2024-07-11,15:15:00
01/24/2024 07:50:00 AM,1.0,3,2,6,5,3,1,1,2,1,2,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,4,1,01/24/2024,2024-01-24,07:50:00
08/07/2024 02:57:00 PM,3.0,3,2,4,4,3,1,1,2,0,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,4,8,08/07/2024,2024-08-07,14:57:00
06/19/2024 03:15:00 PM,1.0,3,2,6,5,3,1,1,2,1,3,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,6,06/19/2024,2024-06-19,15:15:00
06/07/2024 05:00:00 PM,5.0,3,2,5,6,3,3,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,4,1.0,0.0,0.0,1.0,0.0,1.0,17,6,6,06/07/2024,2024-06-07,17:00:00
04/12/2024 08:43:00 AM,5.0,3,2,6,5,3,3,3,3,1,4,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,6,4,04/12/2024,2024-04-12,08:43:00
06/04/2024 06:15:00 PM,5.0,3,2,3,4,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,3,6,06/04/2024,2024-06-04,18:15:00
06/17/2024 07:00:00 PM,5.0,3,2,6,5,3,3,3,2,1,4,IMPROPER TURNING/NO SIGNAL,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,2,6,06/17/2024,2024-06-17,19:00:00
06/17/2024 02:35:00 PM,5.0,3,2,3,5,3,3,3,2,1,2,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,14,2,6,06/17/2024,2024-06-17,14:35:00
07/10/2024 11:00:00 AM,3.0,3,2,3,1,3,3,3,2,0,4,NOT APPLICABLE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,11,4,7,07/10/2024,2024-07-10,11:00:00
02/06/2024 06:55:00 PM,5.0,3,5,3,5,3,3,3,3,1,4,IMPROPER OVERTAKING/PASSING,2,4,1.0,0.0,0.0,1.0,0.0,1.0,18,3,2,02/06/2024,2024-02-06,18:55:00
07/01/2024 09:42:00 AM,5.0,3,2,4,5,3,3,3,3,1,4,UNABLE TO DETERMINE,2,4,1.0,0.0,0.0,1.0,0.0,1.0,9,2,7,07/01/2024,2024-07-01,09:42:00
06/14/2024 04:32:00 AM,5.0,3,5,6,5,3,3,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,2.0,4,6,6,06/14/2024,2024-06-14,04:32:00
